Make,MSRP,Body Size,Body Style,Engine Aspiration,Drivetrain,Transmission,Horsepower_no,Torque_no
Aston Martin,242000.0,Large,SUV,Twin-Turbo,AWD,automatic,697.0,663.0
Audi,35800.0,Compact,Sedan,Turbocharged,FWD,automatic,201.0,221.0
Audi,37800.0,Compact,Sedan,Turbocharged,AWD,automatic,201.0,221.0
Audi,41400.0,Compact,Sedan,Turbocharged,AWD,automatic,201.0,221.0
Audi,39400.0,Compact,Sedan,Turbocharged,FWD,automatic,201.0,221.0
Audi,41900.0,Midsize,Sedan,Turbocharged,AWD,automatic,201.0,236.0
Audi,46100.0,Midsize,Sedan,Turbocharged,AWD,automatic,201.0,236.0
Audi,47700.0,Midsize,Sedan,Turbocharged,AWD,automatic,261.0,273.0
Audi,44100.0,Midsize,Sedan,Turbocharged,AWD,automatic,261.0,273.0
Audi,51300.0,Midsize,Sedan,Turbocharged,AWD,automatic,201.0,236.0
Audi,52000.0,Midsize,Sedan,Turbocharged,AWD,automatic,261.0,273.0
Audi,47600.0,Midsize,Wagon,Turbocharged,AWD,automatic,261.0,273.0
Audi,51200.0,Midsize,Wagon,Turbocharged,AWD,automatic,261.0,273.0
Audi,56500.0,Midsize,Wagon,Turbocharged,AWD,automatic,261.0,273.0
Audi,46200.0,Midsize,Hatchback,Turbocharged,AWD,automatic,201.0,236.0
Audi,50400.0,Midsize,Hatchback,Turbocharged,AWD,automatic,201.0,236.0
Audi,52500.0,Midsize,Hatchback,Turbocharged,AWD,automatic,261.0,273.0
Audi,52500.0,Midsize,Coupe,Turbocharged,AWD,automatic,261.0,273.0
Audi,59700.0,Midsize,Convertible,Turbocharged,AWD,automatic,261.0,273.0
Audi,48400.0,Midsize,Hatchback,Turbocharged,AWD,automatic,261.0,273.0
Audi,48400.0,Midsize,Coupe,Turbocharged,AWD,automatic,261.0,273.0
Audi,55600.0,Midsize,Convertible,Turbocharged,AWD,automatic,261.0,273.0
Audi,55700.0,Midsize,Hatchback,Turbocharged,AWD,automatic,201.0,236.0
Audi,56950.0,Midsize,Hatchback,Turbocharged,AWD,automatic,261.0,273.0
Audi,56650.0,Midsize,Coupe,Turbocharged,AWD,automatic,261.0,273.0
Audi,64700.0,Midsize,Convertible,Turbocharged,AWD,automatic,261.0,273.0
Audi,58100.0,Large,Sedan,Turbocharged,AWD,automatic,261.0,273.0
Audi,62600.0,Large,Sedan,Turbocharged,AWD,automatic,335.0,369.0
Audi,61600.0,Large,Sedan,Turbocharged,AWD,automatic,261.0,273.0
Audi,66100.0,Large,Sedan,Turbocharged,AWD,automatic,335.0,369.0
Audi,71700.0,Large,Sedan,Turbocharged,AWD,automatic,335.0,369.0
Audi,69300.0,Midsize,Wagon,Turbocharged,AWD,automatic,335.0,369.0
Audi,74600.0,Midsize,Wagon,Turbocharged,AWD,automatic,335.0,369.0
Audi,72000.0,Large,Sedan,Turbocharged,AWD,automatic,335.0,369.0
Audi,76750.0,Large,Sedan,Turbocharged,AWD,automatic,335.0,369.0
Audi,80550.0,Large,Sedan,Turbocharged,AWD,automatic,335.0,369.0
Audi,90900.0,Large,Sedan,Turbocharged,AWD,automatic,335.0,369.0
Audi,37400.0,Compact,SUV,Turbocharged,AWD,automatic,184.0,221.0
Audi,40200.0,Compact,SUV,Turbocharged,AWD,automatic,184.0,221.0
Audi,42600.0,Compact,SUV,Turbocharged,AWD,automatic,228.0,251.0
Audi,39800.0,Compact,SUV,Turbocharged,AWD,automatic,228.0,251.0
Audi,58200.0,Midsize,SUV,Electric Motor,AWD,automatic,295.0,339.0
Audi,58200.0,Midsize,SUV,Electric Motor,AWD,automatic,335.0,335.0
Audi,62900.0,Midsize,SUV,Electric Motor,AWD,automatic,295.0,339.0
Audi,62900.0,Midsize,SUV,Electric Motor,AWD,automatic,335.0,335.0
Audi,65200.0,Midsize,SUV,Electric Motor,AWD,automatic,295.0,339.0
Audi,65200.0,Midsize,SUV,Electric Motor,AWD,automatic,335.0,335.0
Audi,49800.0,Midsize,SUV,Electric Motor,RWD,automatic,201.0,229.0
